deal_id,address,transaction_date,rooms,area_sqm,floor,original_price,original_price_per_sqm,price_index_at_transaction,current_price_index,index_adjustment_factor,adjusted_price,adjusted_price_per_sqm,distance_from_project_km,property_type,deal_nature,neighborhood,gush,parcel,sub_parcel,is_eligible_comparable,exclusion_reason,source,source_url,data_retrieved_at
6051609450,"ה' באייר 52, תל אביב-יפו",2021-01-27,,164.0,0.0,7200000.0,43902.439024390245,439.2,602.0,1.3706739526411658,9868852.459016394,60175.92962814874,,בנין,חנות,הצפון החדש סביבת כיכר המדינה,6213,1351,5,False,missing_rooms,GovMap,https://www.govmap.gov.il/api/real-estate/street-deals/52300326?limit=100&offset=0&dealType=2&startDate=2021-01&endDate=2026-08,2026-08-22 13:43:07.812562+00:00
6052764850,"פייבל 2, תל אביב-יפו",2021-02-04,3.0,74.0,,2950000.0,39864.86486486487,442.7,602.0,1.3598373616444546,4011520.216851141,54209.73266015055,,דירה,דירה בבית קומות,הצפון החדש סביבת כיכר המדינה,6108,274,5,True,,GovMap,https://www.govmap.gov.il/api/real-estate/street-deals/52271030?limit=100&offset=0&dealType=2&startDate=2021-01&endDate=2026-08,2026-08-22 13:43:04.779157+00:00
6053777500,"ליסין 23, תל אביב-יפו",2021-02-04,,1226.0,,23500000.0,19168.026101141924,442.7,602.0,1.3598373616444546,31956177.998644684,26065.398041308876,,קרקע,קומבינציה,הצפון החדש סביבת כיכר המדינה,6108,154,1,False,"missing_rooms, non_residential_property_type",GovMap,https://www.govmap.gov.il/api/real-estate/street-deals/52045525?limit=100&offset=0&dealType=2&startDate=2021-01&endDate=2026-08,2026-08-22 13:43:03.167195+00:00
6052525200,"ה' באייר 64, תל אביב-יפו",2021-02-10,4.0,145.0,1.0,5000000.0,34482.75862068965,442.7,602.0,1.3598373616444546,6799186.808222272,46890.94350498119,,דירה,דירה בבית קומות,הצפון החדש סביבת כיכר המדינה,6213,1402,11,True,,GovMap,https://www.govmap.gov.il/api/real-estate/street-deals/52300326?limit=100&offset=0&dealType=2&startDate=2021-01&endDate=2026-08,2026-08-22 13:43:07.812562+00:00
6055524900,"ז'בוטינסקי 7, תל אביב-יפו",2021-02-11,2.0,33.0,3.0,2800000.0,84848.48484848485,442.7,602.0,1.3598373616444546,3807544.612604473,115380.13977589311,,דירה,דירה בבית קומות,הצפון הישן-החלק הצפוני,6960,52,15,True,,GovMap,https://www.govmap.gov.il/api/real-estate/street-deals/73096893?limit=100&offset=100&dealType=2&startDate=2021-01&endDate=2026-08,2026-08-22 13:43:02.817005+00:00
6053623300,"קליי 18, תל אביב-יפו",2021-02-24,3.0,87.0,7.0,4630000.0,53218.3908045977,442.7,602.0,1.3598373616444546,6296046.984413825,72368.35614268764,,דירה,דירה בבית קומות,הצפון החדש סביבת כיכר המדינה,6108,358,7,True,,GovMap,https://www.govmap.gov.il/api/real-estate/street-deals/53067570?limit=100&offset=0&dealType=2&startDate=2021-01&endDate=2026-08,2026-08-22 13:43:32.057364+00:00
6053752400,"ה' באייר 40, תל אביב-יפו",2021-03-01,,61.0,,740000.0,12131.147540983606,448.5,602.0,1.3422519509476032,993266.4437012264,16283.056454118465,,בנין,מחסנים,הצפון החדש סביבת כיכר המדינה,6213,1383,2,False,missing_rooms,GovMap,https://www.govmap.gov.il/api/real-estate/street-deals/52300326?limit=100&offset=0&dealType=2&startDate=2021-01&endDate=2026-08,2026-08-22 13:43:07.812562+00:00
6053645200,"ז'בוטינסקי 155, תל אביב-יפו",2021-03-02,2.0,63.0,1.0,2600000.0,41269.84126984127,448.5,602.0,1.3422519509476032,3489855.072463768,55394.52495974235,,דירה,דירה בבית קומות,הצפון החדש סביבת כיכר המדינה,6108,462,1,True,,GovMap,https://www.govmap.gov.il/api/real-estate/street-deals/73096893?limit=100&offset=100&dealType=2&startDate=2021-01&endDate=2026-08,2026-08-22 13:43:02.817005+00:00
6055220000,תל אביב -יפו,2021-03-02,,608.0,,3800000.0,6250.0,448.5,602.0,1.3422519509476032,5100557.413600892,8389.074693422519,,קרקע,קרקע למגורים,הצפון החדש סביבת כיכר המדינה,6213,336,4,False,"missing_rooms, non_residential_property_type",GovMap,https://www.govmap.gov.il/api/real-estate/street-deals/6213-336?limit=100&offset=0&dealType=2&startDate=2021-01&endDate=2026-08,2026-08-22 13:43:02.155514+00:00
6055258350,"ז'בוטינסקי 134, תל אביב-יפו",2021-03-15,4.0,93.0,4.0,2000000.0,21505.37634408602,448.5,602.0,1.3422519509476032,2684503.9018952064,28865.633353711895,,קרקע,קרקע למגורים,הצפון החדש סביבת כיכר המדינה,6213,345,15,False,non_residential_property_type,GovMap,https://www.govmap.gov.il/api/real-estate/street-deals/73096893?limit=100&offset=100&dealType=2&startDate=2021-01&endDate=2026-08,2026-08-22 13:43:02.817005+00:00
6054546100,"ז'בוטינסקי 7, תל אביב-יפו",2021-03-16,2.0,51.0,1.0,2710000.0,53137.25490196078,448.5,602.0,1.3422519509476032,3637502.7870680047,71323.58406015695,,דירה,דירה בבית קומות,הצפון הישן-החלק הצפוני,6960,52,8,True,,GovMap,https://www.govmap.gov.il/api/real-estate/street-deals/73096893?limit=100&offset=100&dealType=2&startDate=2021-01&endDate=2026-08,2026-08-22 13:43:02.817005+00:00
6054659050,"ז'בוטינסקי 95, תל אביב-יפו",2021-03-17,5.0,112.0,4.0,5150000.0,45982.142857142855,448.5,602.0,1.3422519509476032,6912597.547380157,61719.6209587514,,דירה,דירה בבית קומות,הצפון החדש סביבת כיכר המדינה,6213,1399,14,True,,GovMap,https://www.govmap.gov.il/api/real-estate/street-deals/73096893?limit=100&offset=100&dealType=2&startDate=2021-01&endDate=2026-08,2026-08-22 13:43:02.817005+00:00
6055834650,"ז'בוטינסקי 9, תל אביב-יפו",2021-03-17,3.0,80.0,3.0,3400000.0,42500.0,448.5,602.0,1.3422519509476032,4563656.633221851,57045.70791527313,,דירה,דירה בבית קומות,הצפון הישן-החלק הצפוני,6960,62,3,True,,GovMap,https://www.govmap.gov.il/api/real-estate/street-deals/73096893?limit=100&offset=100&dealType=2&startDate=2021-01&endDate=2026-08,2026-08-22 13:43:02.817005+00:00
